locationid,day_of_week,hour,norm_value
42,2,5,0.04184095386271764
42,2,6,0.08694844662748594
42,2,7,0.20812075510965278
42,2,8,0.23798301314418677
42,2,9,0.1886916736089142
42,2,10,0.147994060104991
42,2,11,0.14565107191439966
42,2,12,0.15706717619171964
42,2,13,0.1660412137088513
42,2,14,0.18628768650902192
42,2,15,0.21154155472933428
42,2,16,0.2361103404219463
42,2,17,0.2522470473291464
42,2,18,0.24713048834467993
42,2,19,0.21850704297570467
42,2,20,0.19375577603941657
42,2,21,0.18414942892229066
42,2,22,0.1733215876141964
42,2,23,0.16656523303897944
42,3,0,0.12122378485364815
42,3,1,0.07419240885174033
42,3,2,0.05015863011942799
42,3,3,0.036072330540786145
42,3,4,0.032066344729255
42,3,5,0.04249413936973633
42,3,6,0.08732006170253451
42,3,7,0.20466089941439825
42,3,8,0.23408463177872427
42,3,9,0.19033992974105768
